n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
1596,12,91.5,108.5,16.75,311.64,-4.78,38.78,102.92,0.1112,0.94,38.46,327.17,102.92,NZC,0.789,0.0,NZC,1.24,FAQ,7.07,1932,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",10.98,0.352,0.017,209.98,12.76,antihelion,16.2
30,1,358.5,360.5,16.55,187.25,23.08,27.61,358.9,0.6151,0.9439,20.53,257.39,358.9,BCO,0.5,0.5,,,BCO,6.6,279,8,7,"2020,2021,2022,2023,2024,2025,2026",8.88,0.312,0.366,182.42,24.73,antihelion,30.1
13,1,295.5,297.5,16.0,168.28,33.38,40.64,296.79,0.2204,0.8449,67.38,314.25,296.79,XUM,1.0,0.0,XUM,0.52,,,669,7,7,"2020,2021,2022,2023,2024,2025,2026",80.5,0.318,0.121,218.18,25.79,antihelion,31.3
20,1,328.5,330.5,16.0,74.21,-52.87,17.32,329.41,0.987,0.6457,25.37,354.09,149.41,M26E1,0.5,0.5,,,,,164,5,3,"2024,2025,2026",-0.43,0.488,0.665,75.28,-74.49,helion,106.3
73,3,10.5,15.5,16.0,200.17,25.35,26.28,14.73,0.7163,0.9579,22.78,245.07,14.73,BCO,0.95,0.05,,,BCO,3.63,282,8,4,"2021,2022,2023,2025",1.94,0.284,0.234,173.65,31.05,antihelion,40.1
52,3,352.5,357.5,16.0,259.34,-16.4,71.08,356.55,0.9576,0.9597,168.46,202.45,356.54,EOP,1.0,0.0,,,EOP,0.92,204,7,7,"2020,2021,2022,2023,2024,2025,2026",14.0,0.333,0.029,264.9,6.73,north_apex,9.7
28,1,103.5,105.5,15.8,16.92,25.64,66.6,104.01,0.911,0.8946,149.57,141.22,104.0,PPS,1.0,0.0,PPS,0.64,UPI,3.75,646,7,6,"2020,2021,2022,2023,2024,2025",6.53,0.356,0.125,282.14,16.86,north_apex,11.8
806,10,303.0,318.5,15.58,176.09,-34.0,58.7,308.5,0.6796,0.9049,113.69,69.94,128.5,OHY,0.819,0.181,OHY,0.2,,,411,7,4,"2023,2024,2025,2026",3.39,0.321,0.015,242.93,-32.43,south_apex,30.3
85,4,31.5,36.5,15.5,224.36,-11.31,29.63,33.82,0.3576,0.8489,6.53,293.93,33.86,DLI,1.0,0.0,,,DLI,1.07,1242,8,2,"2022,2026",-0.86,0.45,0.291,191.06,5.33,antihelion,10.4
171,4,60.0,66.5,15.06,242.72,-10.4,24.84,61.17,0.5436,0.8019,9.15,272.51,61.2,MPS,0.964,0.036,,,MPS,0.97,1019,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",7.24,0.321,0.431,181.84,9.93,antihelion,20.6
50,2,339.0,342.5,15.06,293.31,47.97,30.67,339.92,0.9055,0.7565,48.95,143.34,339.92,MOC,0.375,0.625,,,FDC,1.34,192,7,7,"2020,2021,2022,2023,2024,2025,2026",5.17,0.286,0.792,331.7,67.86,north_toroidal,28.2
28,1,52.5,54.5,15.06,213.73,10.21,14.78,53.27,0.8822,0.6709,9.16,226.93,53.29,,0.0,1.0,,,,,588,7,0,,0.02,0.333,0.915,154.73,21.63,antihelion,49.5
69,3,301.5,306.5,15.0,192.02,-17.46,67.57,302.32,0.8038,0.8248,158.78,53.41,122.32,ECV,1.0,0.0,ECV,0.64,SOV,7.47,224,7,6,"2020,2022,2023,2024,2025,2026",13.22,0.33,0.0,255.92,-11.17,south_apex,14.2
25,2,93.0,96.5,15.0,319.54,49.53,46.64,95.69,0.9935,0.9603,80.68,197.56,95.69,SCY,1.0,0.0,JRC,5.2,SCY,0.47,133,7,6,"2020,2021,2022,2023,2024,2026",5.19,0.248,0.045,254.19,60.13,north_toroidal,7.9
38,2,306.0,309.5,15.0,206.54,-41.38,64.66,307.35,0.9765,0.8162,131.73,348.99,127.35,,0.0,1.0,,,ICN,6.27,136,5,3,"2024,2025,2026",-0.39,0.618,0.728,272.89,-27.75,south_apex,13.0
19,1,3.0,5.0,15.0,264.96,-16.73,70.69,3.91,0.9349,0.9471,168.34,209.45,3.9,EOP,1.0,0.0,,,EOP,1.74,192,7,7,"2020,2021,2022,2023,2024,2025,2026",11.69,0.339,0.115,260.26,6.57,north_apex,12.8
46,3,301.5,306.5,15.0,156.18,34.1,40.47,304.19,0.2925,0.9794,41.81,295.29,304.19,,0.0,1.0,,,RLM,3.83,146,7,5,"2021,2022,2023,2025,2026",2.67,0.274,0.705,201.08,22.21,antihelion,22.2
19,1,325.5,327.5,15.0,179.85,-24.08,54.55,326.56,0.2421,0.9916,102.93,121.08,146.56,,0.0,1.0,,,FAC,0.48,49,5,5,"2022,2023,2024,2025,2026",3.5,0.49,1.0,223.28,-21.97,antihelion,31.7
19,1,70.5,72.5,15.0,203.08,7.5,11.81,71.54,0.9805,0.7566,4.75,202.43,71.59,M25L2,0.895,0.105,,,,,80,6,6,"2021,2022,2023,2024,2025,2026",3.0,0.613,0.475,127.59,16.64,antihelion,73.6
26,1,24.0,26.0,14.31,247.2,17.54,46.76,25.22,0.5251,0.9851,74.76,268.1,25.22,KSE,1.0,0.0,KSE,0.68,ABH,5.94,178,7,6,"2021,2022,2023,2024,2025,2026",5.0,0.309,0.039,216.95,38.75,north_toroidal,40.6
26,1,355.5,357.5,14.31,184.97,24.11,28.09,357.01,0.6157,0.9448,20.12,257.29,357.01,BCO,0.538,0.462,,,,,247,7,6,"2020,2021,2022,2023,2025,2026",3.7,0.34,0.397,179.94,24.61,antihelion,31.5
82,3,69.0,74.0,14.31,222.22,28.4,13.14,71.34,0.9716,0.6444,14.09,206.5,71.36,,0.0,1.0,,,,,621,8,6,"2019,2020,2021,2022,2023,2026",3.42,0.58,0.507,127.55,37.48,antihelion,78.2
79,2,337.5,341.0,14.09,244.45,59.58,28.64,338.41,0.9716,0.6496,47.15,198.04,338.41,ETD,0.526,0.474,,,ETD,0.58,194,7,4,"2021,2022,2023,2025",2.25,0.402,0.314,223.17,75.99,north_toroidal,23.7
18,1,351.0,353.0,14.0,182.47,23.24,29.15,351.97,0.5838,0.9582,20.42,260.89,351.98,BCO,0.167,0.833,,,,,116,7,7,"2020,2021,2022,2023,2024,2025,2026",6.57,0.431,0.664,179.41,22.53,antihelion,30.3
36,3,318.0,323.0,14.0,205.12,-3.11,66.77,320.13,0.516,0.9759,164.93,268.31,320.13,,0.0,1.0,,,,,74,5,5,"2022,2023,2024,2025,2026",2.41,0.297,1.0,243.86,6.76,north_apex,27.0
18,1,219.0,221.0,14.0,104.24,15.72,64.96,220.26,0.4796,0.9423,163.97,93.8,40.26,ORI,1.0,0.0,ORI,6.97,LGM,3.03,3347,7,6,"2019,2020,2021,2022,2024,2025",6.33,0.23,0.136,244.79,-7.0,south_apex,26.0
18,1,358.5,360.5,14.0,192.06,-45.44,44.62,359.34,0.4652,0.9842,67.9,94.32,179.46,,0.0,1.0,,,,,154,4,2,"2024,2026",0.14,0.37,1.0,216.78,-36.07,antihelion,39.4
53,3,51.0,56.0,14.0,302.13,-33.65,64.81,53.51,0.554,0.9794,151.36,85.41,233.52,OMC,1.0,0.0,,,TTS,1.15,450,7,6,"2021,2022,2023,2024,2025,2026",9.16,0.422,0.016,243.66,-12.98,south_apex,25.6
30,2,96.0,99.5,14.0,252.24,54.28,23.73,97.11,1.0075,0.953,34.14,190.9,97.12,ODR,0.944,0.056,,,JMD,0.53,167,7,7,"2020,2021,2022,2023,2024,2025,2026",5.77,0.21,0.15,130.68,75.45,north_toroidal,55.0
16,1,93.0,95.0,14.0,254.74,54.77,25.24,93.61,1.0054,0.954,36.39,192.03,93.62,ODR,0.75,0.25,,,ODR,0.96,168,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",22.0,0.238,0.339,135.44,75.99,north_toroidal,52.9
37,2,337.5,341.0,13.57,239.91,46.31,42.22,338.59,0.9397,0.965,69.21,206.44,338.59,,0.0,1.0,,,,,113,7,4,"2021,2022,2023,2025",1.84,0.327,1.0,238.49,64.15,north_toroidal,15.3
24,1,208.5,210.5,13.57,46.23,13.5,32.92,209.2,0.2249,0.8984,6.42,129.37,29.2,,0.0,1.0,STA,2.46,DAT,7.12,1967,7,1,2022,-7.94,0.425,0.646,196.94,-3.92,antihelion,5.0
59,3,303.0,308.0,13.39,188.46,40.68,48.66,305.67,0.5621,0.9796,80.58,262.9,305.67,CVD,1.0,0.0,,,CVD,1.98,123,7,7,"2020,2021,2022,2023,2024,2025,2026",16.0,0.285,0.008,221.79,40.06,north_toroidal,36.8
467,5,174.0,182.0,13.12,296.22,39.15,15.07,178.3,0.9747,0.6476,20.12,202.07,178.31,CCY,0.414,0.586,CCY,7.58,,,833,7,6,"2019,2020,2022,2023,2024,2025",4.43,0.599,0.589,135.21,57.45,north_toroidal,70.0
73,4,310.5,317.0,13.0,199.35,-18.68,67.5,311.37,0.7565,0.8285,161.47,60.25,131.37,ECV,0.933,0.067,ECV,5.17,SOV,0.43,172,7,4,"2023,2024,2025,2026",4.07,0.355,0.052,253.73,-9.93,south_apex,16.7
17,1,195.0,197.0,13.0,66.65,-5.63,54.08,196.16,0.3637,0.9775,103.48,106.6,16.16,XIE,1.0,0.0,,,XIE,0.18,152,7,7,"2019,2020,2021,2022,2023,2024,2025",12.0,0.408,0.02,227.74,-27.13,antihelion,38.2
16,1,330.0,332.0,13.0,255.87,53.43,32.53,331.07,0.9877,0.6387,55.0,182.09,331.07,,0.0,1.0,,,ETD,6.54,125,7,4,"2020,2022,2023,2025",2.27,0.376,1.0,262.29,75.42,north_toroidal,15.7
16,1,264.0,266.0,13.0,139.5,1.23,62.1,265.1,0.3428,0.9768,143.15,108.76,85.1,EHY,1.0,0.0,EHY,3.61,DOH,5.05,514,7,2,"2023,2024",1.18,0.28,0.037,236.57,-14.22,south_apex,32.4
43,3,336.0,341.0,13.0,176.63,6.37,39.33,338.63,0.2093,0.9935,9.06,304.77,338.64,,0.0,1.0,,,,,164,7,7,"2020,2021,2022,2023,2024,2025,2026",13.0,0.36,0.976,196.79,4.13,antihelion,5.2
15,1,15.0,17.0,13.0,204.16,-14.12,29.72,16.27,0.3501,0.8489,4.71,114.81,196.24,OAV,1.0,0.0,,,OAV,0.88,733,8,6,"2019,2022,2023,2024,2025,2026",2.51,0.284,0.349,190.61,-3.79,antihelion,10.1
16,1,1.5,3.5,13.0,118.71,-35.01,13.78,1.83,0.9768,0.6443,17.35,18.12,181.82,M25F1,0.438,0.562,,,,,217,7,1,2025,-0.15,0.641,0.571,131.95,-55.25,antihelion,81.8
16,1,138.0,140.0,13.0,46.12,57.52,60.42,139.58,0.961,1.0402,114.38,154.04,139.58,PER,1.0,0.0,PER,0.34,,,23025,7,7,"2019,2020,2021,2022,2023,2024,2025",98.63,0.3,0.012,282.39,38.48,north_toroidal,23.0
11,1,190.5,192.5,13.0,31.43,8.82,32.28,192.0,0.2039,0.8866,6.5,134.08,12.0,STA,0.091,0.909,STA,0.89,SOA,0.64,1721,7,7,"2019,2020,2021,2022,2023,2024,2025",18.59,0.349,0.439,199.41,-4.04,antihelion,4.1
27,2,235.5,239.0,13.0,23.31,36.94,16.55,236.3,0.8281,0.7303,11.18,232.25,236.29,AND,0.941,0.059,AND,3.69,,,834,7,6,"2019,2020,2021,2022,2024,2025",4.69,0.269,0.421,158.86,25.6,antihelion,47.6
35,1,51.0,53.0,12.86,229.97,-29.26,24.97,52.19,0.522,0.7897,9.32,95.44,232.17,,0.0,1.0,,,SLL,0.48,591,7,1,2026,-0.86,0.398,1.0,182.72,-9.84,antihelion,19.8
24,1,12.0,14.0,12.82,241.61,0.94,55.95,12.77,0.2711,0.9898,111.35,297.63,12.77,ALO,1.0,0.0,,,ALO,2.99,132,6,6,"2021,2022,2023,2024,2025,2026",14.5,0.326,0.03,226.36,21.65,antihelion,33.8
64,1,210.0,212.0,12.23,47.22,13.66,32.03,211.27,0.2474,0.8861,6.1,126.9,31.27,,0.0,1.0,STA,1.58,LCT,1.02,3538,7,2,"2022,2025",-8.96,0.437,0.367,196.1,-4.04,antihelion,5.6
23,1,322.5,324.5,12.07,229.19,-59.86,59.04,322.87,0.9343,0.9057,110.07,332.73,142.87,,0.0,1.0,,,NOR,6.29,90,4,3,"2024,2025,2026",-0.31,0.456,1.0,281.8,-39.9,south_apex,27.0
26,2,166.5,170.0,12.0,136.18,-68.86,19.38,168.72,0.9909,0.6521,29.51,343.88,348.72,,0.0,1.0,,,BEC,5.16,86,3,3,"2023,2024,2025",-0.4,0.43,1.0,40.35,-72.17,helion,87.1
15,1,289.5,291.5,12.0,171.82,-15.02,66.4,290.45,0.6635,0.9493,145.71,70.96,110.44,KCR,0.933,0.067,,,KCR,0.51,149,6,2,"2024,2025",-0.41,0.342,0.121,248.1,-17.17,south_apex,21.2
21,2,111.0,114.5,12.0,6.75,50.82,57.58,113.27,0.9984,0.9832,107.53,164.65,113.27,ZCS,1.0,0.0,ZCS,0.15,,,1012,7,7,"2019,2020,2021,2022,2023,2024,2025",39.21,0.264,0.009,277.64,43.01,north_toroidal,17.6
14,1,13.5,15.5,12.0,195.03,-12.31,25.25,14.62,0.5033,0.7868,4.78,97.62,194.58,,0.0,1.0,,,OAV,6.76,575,8,0,,-2.37,0.297,0.953,183.07,-4.61,antihelion,17.5
15,1,226.5,228.5,12.0,55.65,-0.94,28.67,227.2,0.4957,0.8837,19.76,93.42,47.21,OER,1.0,0.0,OER,1.34,,,888,7,7,"2019,2020,2021,2022,2023,2024,2025",14.12,0.288,0.131,185.68,-19.67,antihelion,24.2
24,2,183.0,186.5,12.0,109.46,47.93,64.72,184.79,0.9446,0.8445,135.12,151.05,184.79,SOL,1.0,0.0,,,SOL,0.37,203,7,5,"2021,2022,2023,2024,2025",5.38,0.33,0.089,279.58,25.34,north_apex,13.7
15,1,1.5,3.5,12.0,293.98,43.2,40.51,2.76,0.9142,0.9319,66.49,145.68,2.77,ZCY,0.2,0.8,,,,,117,7,2,"2022,2023",-0.46,0.265,0.735,307.0,62.98,north_toroidal,17.9
15,1,357.0,359.0,12.0,52.81,68.58,11.45,358.24,0.9882,0.6277,13.47,168.49,358.25,,0.0,1.0,,,,,155,7,0,,-0.68,0.413,1.0,69.9,49.29,north_toroidal,93.1
15,1,57.0,59.0,12.0,240.72,-10.52,25.81,57.81,0.5165,0.8181,9.2,274.89,57.85,MPS,0.933,0.067,,,MPS,2.93,1021,8,6,"2020,2022,2023,2024,2025,2026",3.65,0.353,0.459,183.1,9.53,antihelion,19.4
15,1,202.5,204.5,12.0,92.39,15.32,68.05,203.74,0.6493,1.0167,163.75,71.91,23.74,ORI,1.0,0.0,ORI,2.24,XGM,5.1,3558,7,7,"2019,2020,2021,2022,2023,2024,2025",125.0,0.272,0.065,247.51,-7.87,south_apex,23.2
67,2,310.5,314.0,11.88,249.16,24.51,54.75,313.16,0.8895,0.9359,97.79,142.99,313.16,FBH,0.927,0.073,,,FBH,0.3,133,7,4,"2022,2023,2024,2025",1.99,0.414,0.045,289.09,45.6,north_toroidal,18.5
57,2,157.5,161.0,11.48,242.0,58.67,20.02,160.17,0.9982,0.6611,30.68,166.67,160.18,AUD,0.575,0.425,AUD,1.7,IOD,7.62,753,7,7,"2019,2020,2021,2022,2023,2024,2025",13.44,0.271,0.428,41.24,75.53,north_toroidal,52.0
22,1,49.5,51.5,11.33,213.37,8.94,15.41,50.43,0.8635,0.6791,9.0,230.03,50.46,AVB,0.5,0.5,,,,,604,7,7,"2020,2021,2022,2023,2024,2025,2026",3.98,0.326,0.839,157.31,20.55,antihelion,46.8
19,1,241.5,243.5,11.33,64.77,15.59,23.12,242.51,0.5277,0.7557,4.59,94.74,62.53,FTA,1.0,0.0,STA,0.86,FTA,0.64,3510,7,7,"2019,2020,2021,2022,2023,2024,2025",13.15,0.421,0.254,183.58,-6.18,antihelion,17.5
22,1,51.0,53.0,11.33,297.07,52.4,40.72,52.26,1.0091,0.9664,67.59,175.74,52.26,PCY,1.0,0.0,,,PCY,0.08,253,7,5,"2020,2022,2023,2025,2026",3.35,0.32,0.115,275.33,70.73,north_toroidal,11.0
22,1,312.0,314.0,11.33,196.23,-35.08,65.99,313.3,0.8752,0.9667,133.56,39.31,133.3,,0.0,1.0,,,,,67,5,1,2024,-0.01,0.388,1.0,255.82,-25.87,south_apex,17.2
14,1,288.0,290.0,11.0,218.16,25.48,61.2,289.16,0.9662,0.9678,114.95,164.79,289.16,,0.0,1.0,,,TBO,5.07,104,7,7,"2020,2021,2022,2023,2024,2025,2026",11.0,0.26,1.0,276.48,38.25,north_toroidal,22.2
11,1,25.5,27.5,11.0,209.96,-2.21,24.53,26.1,0.538,0.7739,8.2,273.82,26.12,,0.0,1.0,,,,,514,8,0,,-2.06,0.35,1.0,182.17,8.21,antihelion,19.6
14,1,184.5,186.5,11.0,12.13,7.7,28.15,185.36,0.3976,0.856,2.65,288.23,185.4,NPI,0.643,0.357,NPI,2.11,SPI,6.36,710,7,3,"2019,2020,2024",1.5,0.341,0.559,189.21,2.24,antihelion,11.0
14,1,210.0,212.0,11.0,45.16,19.16,31.2,210.97,0.2576,0.8745,3.04,306.31,210.97,,0.0,1.0,NTA,0.45,DAT,3.04,2937,7,5,"2019,2021,2022,2024,2025",6.36,0.356,0.494,196.09,2.23,antihelion,4.5
12,1,171.0,173.0,11.0,269.46,9.77,9.05,172.07,1.0036,0.6132,7.78,186.12,172.09,,0.0,1.0,,,SOS,2.71,237,7,2,"2020,2022",1.73,0.304,1.0,100.46,33.94,antihelion,101.1
58,4,52.5,57.5,11.0,239.11,-10.66,26.02,54.6,0.4892,0.8051,9.06,278.41,54.63,MPS,0.818,0.091,,,XSC,1.39,925,8,4,"2023,2024,2025,2026",2.75,0.352,0.44,184.3,9.13,antihelion,18.1
14,1,354.0,356.0,11.0,187.64,-44.79,44.77,354.77,0.4832,0.9685,68.35,92.5,174.77,,0.0,1.0,,,,,114,4,4,"2023,2024,2025,2026",2.11,0.377,1.0,212.55,-37.4,antihelion,39.2
14,1,85.5,87.5,11.0,280.4,0.75,36.62,86.47,0.3809,0.978,35.11,285.29,86.48,JTS,1.0,0.0,,,JTS,1.03,95,7,7,"2020,2021,2022,2023,2024,2025,2026",9.0,0.284,0.168,194.82,24.01,antihelion,24.5
14,1,94.5,96.5,11.0,13.07,6.52,70.27,95.1,0.937,0.9874,178.52,147.38,94.93,DPI,1.0,0.0,,,DPI,1.26,240,7,7,"2020,2021,2022,2023,2024,2025,2026",10.5,0.662,0.05,280.22,0.96,north_apex,17.3
27,2,313.5,317.0,11.0,225.61,-60.65,57.82,316.12,0.8928,0.9472,106.5,323.72,136.12,,0.0,1.0,,,NOR,7.85,107,4,3,"2024,2025,2026",-0.4,0.393,1.0,286.47,-40.99,south_apex,29.8
30,1,69.0,71.0,10.75,198.12,51.14,12.29,69.8,1.0134,0.6561,14.65,182.51,69.82,M25L1,0.6,0.4,,,,,205,8,1,2019,-0.04,0.322,0.805,99.19,52.48,north_toroidal,95.2
30,1,330.0,332.0,10.75,242.33,-65.89,56.8,331.17,0.9291,0.9477,103.9,331.29,151.17,,0.0,1.0,,,TTR,1.75,100,4,3,"2024,2025,2026",0.54,0.37,1.0,283.41,-43.87,south_apex,31.1
41,2,69.0,72.5,10.58,239.58,-36.82,20.94,71.77,0.6799,0.7536,10.21,76.33,251.75,,0.0,1.0,,,SLL,6.9,365,6,3,"2024,2025,2026",-0.86,0.342,1.0,173.72,-14.7,antihelion,29.9
12,1,120.0,122.0,10.22,335.32,-18.38,40.48,121.54,0.0747,0.9679,27.83,151.96,301.53,SDA,1.0,0.0,SDA,2.48,,,10186,7,7,"2019,2020,2021,2022,2023,2024,2025",24.3,0.478,0.059,209.1,-7.14,antihelion,11.6
55,2,159.0,162.5,10.22,304.65,20.0,15.13,161.72,0.9068,0.6851,14.79,221.11,161.73,CCY,0.552,0.448,,,,,617,7,2,"2020,2025",-0.92,0.483,0.554,150.99,38.72,antihelion,60.3
36,1,316.5,318.5,10.16,212.5,-24.74,70.72,317.45,0.9229,0.9642,160.94,29.48,137.45,PIH,1.0,0.0,,,PIH,1.71,117,6,3,"2024,2025,2026",1.19,0.368,0.017,261.24,-10.91,south_apex,9.5
11,1,213.0,215.0,10.0,100.2,16.15,62.44,213.9,0.4637,0.817,163.98,100.59,33.9,ORI,1.0,0.0,ORI,3.11,XGM,4.7,4082,7,7,"2019,2020,2021,2022,2023,2024,2025",58.08,0.253,0.085,245.79,-7.31,south_apex,25.0
13,1,309.0,311.0,10.0,204.35,-17.68,70.74,309.92,0.888,0.9562,167.53,37.32,129.91,PIH,0.077,0.923,,,SOV,4.42,111,7,6,"2021,2022,2023,2024,2025,2026",3.4,0.369,0.838,258.81,-7.97,south_apex,13.0
10,1,319.5,321.5,10.0,212.22,-20.08,70.15,320.36,0.8423,0.9363,167.92,45.95,140.36,PIH,0.1,0.9,,,PIH,3.42,92,6,1,2026,0.18,0.283,0.793,257.22,-7.1,south_apex,14.8
13,1,234.0,236.0,10.0,22.58,36.11,16.63,235.44,0.8263,0.7401,11.08,232.44,235.43,AND,0.923,0.077,AND,2.7,,,782,7,6,"2019,2020,2021,2022,2023,2025",5.36,0.275,0.417,159.66,24.71,antihelion,46.5
13,1,340.5,342.5,10.0,237.41,13.21,61.95,341.64,0.824,0.9777,119.79,228.98,341.64,,0.0,1.0,,,,,62,7,6,"2020,2021,2022,2024,2025,2026",2.81,0.403,1.0,250.15,32.85,north_apex,25.5
13,1,24.0,26.0,10.0,312.16,14.17,60.25,25.07,0.7279,0.9651,119.85,115.81,25.07,AED,1.0,0.0,,,AED,4.37,137,7,5,"2021,2022,2023,2024,2025",3.35,0.226,0.168,293.73,30.47,north_apex,26.8
10,1,139.5,141.5,10.0,47.43,58.38,56.9,140.25,0.949,0.7853,111.16,148.87,140.25,PER,1.0,0.0,PER,0.2,,,16977,7,7,"2019,2020,2021,2022,2023,2024,2025",118.43,0.335,0.016,282.86,38.31,north_toroidal,23.3
13,1,285.0,287.0,10.0,169.37,-60.66,48.68,286.25,0.963,0.8858,84.21,342.94,106.25,TCD,1.0,0.0,,,TCD,6.45,130,4,3,"2024,2025,2026",0.86,0.377,0.123,281.6,-56.93,south_apex,43.0
11,1,39.0,41.0,10.0,231.98,-22.27,32.32,39.84,0.2704,0.8868,5.0,123.51,219.76,ILI,1.0,0.0,,,ILI,1.08,696,8,2,"2024,2026",0.67,0.32,0.267,195.24,-2.94,antihelion,5.6
13,1,324.0,326.0,10.0,222.49,15.8,62.91,324.63,0.7894,0.9837,123.16,233.51,324.63,ZBO,0.923,0.077,,,ZBO,2.52,59,6,6,"2021,2022,2023,2024,2025,2026",3.09,0.271,0.203,249.35,30.51,north_apex,24.6
27,2,313.5,317.0,9.84,160.35,-11.77,43.73,316.11,0.156,0.9542,56.87,136.58,136.11,AAN,0.765,0.235,AAN,0.63,,,167,7,4,"2022,2024,2025,2026",2.88,0.377,0.281,211.02,-17.84,antihelion,20.9
27,1,309.0,311.0,9.7,199.6,28.99,56.28,309.99,0.5835,0.9746,104.18,260.36,309.99,,0.0,1.0,,,FCV,1.21,96,7,4,"2022,2023,2024,2025",2.61,0.365,1.0,234.96,33.98,north_toroidal,35.3
27,1,165.0,167.0,9.17,239.7,54.79,18.89,165.67,0.9919,0.6549,28.27,163.72,165.68,AUD,0.222,0.778,AUD,5.77,IOD,4.59,419,7,7,"2019,2020,2021,2022,2023,2024,2025",7.93,0.284,0.685,41.41,71.61,north_toroidal,55.1
18,1,343.5,345.5,9.09,126.63,-16.0,14.33,344.65,0.9096,0.6699,12.65,37.07,164.64,,0.0,1.0,,,,,267,8,3,"2019,2024,2025",1.14,0.498,1.0,149.38,-32.7,antihelion,58.6
18,1,0.0,2.0,9.09,279.85,-71.05,55.3,1.31,0.992,0.957,99.83,352.32,181.31,,0.0,1.0,,,ZPA,0.12,60,5,5,"2022,2023,2024,2025,2026",3.0,0.317,1.0,273.17,-47.78,south_apex,32.9
16,1,105.0,107.0,9.09,239.91,23.81,11.57,106.13,0.994,0.6145,11.98,199.64,106.15,ECB,0.375,0.625,,,ECB,2.45,365,7,7,"2019,2020,2021,2022,2023,2024,2025",4.03,0.337,0.896,125.2,41.65,antihelion,81.4
28,2,99.0,102.5,9.09,207.3,56.07,13.76,101.54,1.0106,0.6292,18.69,169.94,101.55,,0.0,1.0,,,,,231,7,1,2022,0.39,0.333,1.0,68.23,60.41,north_toroidal,78.6
18,1,66.0,68.0,9.09,221.45,21.01,13.65,67.08,0.9443,0.6529,12.54,213.84,67.1,,0.0,1.0,,,,,361,8,2,"2019,2020",0.8,0.28,1.0,144.01,36.17,antihelion,64.4
17,1,70.5,72.5,9.09,271.21,-16.35,35.7,71.6,0.1915,0.9275,13.86,313.0,71.61,,0.0,1.0,,,SGI,7.26,298,7,0,,-0.8,0.332,1.0,199.89,6.69,antihelion,6.7
58,3,10.5,15.5,9.09,211.35,-20.62,30.44,14.24,0.221,0.8364,12.1,135.54,194.22,,0.0,1.0,,,,,256,7,4,"2023,2024,2025,2026",1.33,0.328,0.984,201.67,-7.69,antihelion,7.9
11,1,238.5,240.5,9.0,117.32,0.72,62.33,239.72,0.4824,0.9846,133.84,91.76,59.72,AMO,1.0,0.0,AMO,0.08,,,253,7,7,"2019,2020,2021,2022,2023,2024,2025",12.75,0.292,0.055,239.52,-19.94,south_apex,29.5
11,1,318.0,320.0,9.0,344.6,69.16,12.85,318.88,0.9857,0.5878,17.53,176.72,318.88,,0.0,1.0,,,,,120,7,0,,-0.56,0.208,1.0,85.33,61.16,north_toroidal,86.1
11,1,237.0,239.0,9.0,155.45,20.57,68.04,237.94,0.986,0.6704,162.66,174.03,237.94,LEO,1.0,0.0,LEO,0.62,,,1906,7,7,"2019,2020,2021,2022,2023,2024,2025",52.99,0.292,0.052,272.09,9.98,north_apex,5.4
10,1,319.5,321.5,9.0,217.62,17.31,62.28,320.97,0.7645,0.9664,121.89,237.02,320.97,ZBO,0.6,0.4,,,ZBO,1.75,99,7,6,"2020,2021,2022,2024,2025,2026",2.71,0.283,0.606,249.34,30.51,north_apex,24.6
11,1,19.5,21.5,9.0,200.99,-14.45,25.56,20.77,0.4943,0.7947,4.85,98.34,200.74,OAV,0.455,0.545,,,OAV,0.73,813,8,5,"2019,2023,2024,2025,2026",3.24,0.408,0.601,184.51,-4.85,antihelion,16.2
11,1,351.0,353.0,9.0,217.14,63.62,21.66,351.3,0.9446,0.678,32.26,208.7,351.3,,0.0,1.0,,,,,67,6,1,2026,0.82,0.433,1.0,165.42,67.93,north_toroidal,46.6
12,1,256.5,258.5,9.0,72.11,14.27,19.24,257.26,0.6586,0.6963,4.94,79.14,77.28,DSA,0.583,0.417,ORS,6.52,RTU,3.33,911,7,0,,-3.92,0.333,0.722,175.38,-8.11,antihelion,25.9
12,1,255.0,257.0,9.0,150.29,35.65,63.45,256.23,0.5945,0.9766,133.1,258.59,256.23,COM,1.0,0.0,,,DLM,5.64,807,7,0,,-7.42,0.276,0.079,243.38,21.92,north_apex,26.2
19,2,22.5,26.0,9.0,213.52,-38.12,40.6,24.58,0.3112,0.9954,43.67,112.88,204.58,ACU,0.636,0.364,,,ACU,2.49,119,6,3,"2024,2025,2026",0.69,0.345,0.252,200.25,-23.3,antihelion,23.3
10,1,22.5,24.5,9.0,207.29,-16.24,27.3,24.09,0.4367,0.821,4.89,104.83,204.05,OAV,1.0,0.0,,,OAV,4.1,805,8,2,"2023,2026",-1.22,0.395,0.325,186.86,-4.43,antihelion,13.9
