n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
22,1,129.0,131.0,65.0,342.03,-15.26,40.8,129.35,0.0766,0.9717,26.16,151.09,309.34,SDA,1.0,0.0,SDA,0.37,AOA,6.31,21491,7,7,"2019,2020,2021,2022,2023,2024,2025",135.88,0.367,0.064,208.18,-7.6,antihelion,11.2
280,7,102.0,113.0,62.0,345.78,10.26,64.11,106.03,0.5932,0.9573,148.15,261.92,106.02,JPE,1.0,0.0,JPE,1.42,FPE,1.33,727,7,6,"2020,2021,2022,2023,2024,2025",11.6,0.333,0.025,244.7,14.89,north_apex,24.4
150,1,93.0,95.0,61.35,331.56,29.12,58.85,93.95,0.8988,0.9733,112.72,220.08,93.95,JIP,1.0,0.0,JIP,0.09,,,329,7,7,"2020,2021,2022,2023,2024,2025,2026",22.94,0.261,0.049,252.43,37.69,north_toroidal,25.1
15,1,120.0,122.0,61.0,336.34,-17.07,42.18,121.37,0.0523,0.9796,31.24,156.47,301.36,SDA,1.0,0.0,SDA,2.54,,,9187,7,7,"2019,2020,2021,2022,2023,2024,2025",103.85,0.489,0.071,209.43,-7.24,antihelion,11.9
167,2,82.5,86.0,59.78,320.33,44.23,49.83,83.73,1.0061,0.9344,88.24,191.19,83.73,JRC,1.0,0.0,JRC,0.18,SCY,5.79,364,7,7,"2020,2021,2022,2023,2024,2025,2026",17.77,0.236,0.058,262.14,55.17,north_toroidal,6.4
8250,21,213.0,243.5,59.41,52.75,14.39,28.81,221.45,0.3437,0.8417,5.38,115.36,41.46,STS,0.484,0.003,STA,1.09,STS,1.02,10550,7,7,"2019,2020,2021,2022,2023,2024,2025",7.88,0.459,0.025,192.85,-4.48,antihelion,8.4
98,2,193.5,197.0,57.0,262.69,55.87,20.41,195.07,0.9963,0.6844,31.23,173.18,195.07,DRA,1.0,0.0,DRA,0.07,,,371,7,1,2024,0.39,0.628,0.423,53.48,78.76,north_toroidal,53.9
260,7,349.5,360.5,57.0,253.63,49.06,34.44,350.49,0.9774,0.637,58.82,196.67,350.49,XHE,0.944,0.056,XHE,0.05,SSH,5.4,297,7,7,"2020,2021,2022,2023,2024,2025,2026",23.2,0.259,0.064,245.96,70.59,north_toroidal,14.6
401,7,13.5,24.5,56.05,198.84,3.83,20.18,23.6,0.6954,0.7301,6.77,254.16,23.63,AVB,0.979,0.021,AVB,2.27,SLE,0.69,1362,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",10.99,0.373,0.341,171.84,11.05,antihelion,30.1
391,6,25.5,35.0,55.31,201.5,4.32,19.39,27.83,0.7244,0.7242,7.11,250.36,27.86,AVB,0.979,0.021,AVB,0.45,SLE,0.88,1427,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",8.86,0.348,0.313,170.25,12.04,antihelion,31.9
