n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep
41,2,69.0,72.5,10.58,239.58,-36.82,20.94,71.77,0.6799,0.7536,10.21,76.33,251.75,,0.0,1.0,,,SLL,6.9
12,1,120.0,122.0,10.22,335.32,-18.38,40.48,121.54,0.0747,0.9679,27.83,151.96,301.53,SDA,1.0,0.0,SDA,2.48,,
55,2,159.0,162.5,10.22,304.65,20.0,15.13,161.72,0.9068,0.6851,14.79,221.11,161.73,CCY,0.552,0.448,,,,
36,1,316.5,318.5,10.16,212.5,-24.74,70.72,317.45,0.9229,0.9642,160.94,29.48,137.45,PIH,1.0,0.0,,,PIH,1.71
11,1,213.0,215.0,10.0,100.2,16.15,62.44,213.9,0.4637,0.817,163.98,100.59,33.9,ORI,1.0,0.0,ORI,3.11,XGM,4.7
13,1,309.0,311.0,10.0,204.35,-17.68,70.74,309.92,0.888,0.9562,167.53,37.32,129.91,PIH,0.077,0.923,,,SOV,4.42
10,1,319.5,321.5,10.0,212.22,-20.08,70.15,320.36,0.8423,0.9363,167.92,45.95,140.36,PIH,0.1,0.9,,,PIH,3.42
13,1,234.0,236.0,10.0,22.58,36.11,16.63,235.44,0.8263,0.7401,11.08,232.44,235.43,AND,0.923,0.077,AND,2.7,,
13,1,340.5,342.5,10.0,237.41,13.21,61.95,341.64,0.824,0.9777,119.79,228.98,341.64,,0.0,1.0,,,,
13,1,24.0,26.0,10.0,312.16,14.17,60.25,25.07,0.7279,0.9651,119.85,115.81,25.07,AED,1.0,0.0,,,AED,4.37
10,1,139.5,141.5,10.0,47.43,58.38,56.9,140.25,0.949,0.7853,111.16,148.87,140.25,PER,1.0,0.0,PER,0.2,,
13,1,285.0,287.0,10.0,169.37,-60.66,48.68,286.25,0.963,0.8858,84.21,342.94,106.25,TCD,1.0,0.0,,,TCD,6.45
11,1,39.0,41.0,10.0,231.98,-22.27,32.32,39.84,0.2704,0.8868,5.0,123.51,219.76,ILI,1.0,0.0,,,ILI,1.08
13,1,324.0,326.0,10.0,222.49,15.8,62.91,324.63,0.7894,0.9837,123.16,233.51,324.63,ZBO,0.923,0.077,,,ZBO,2.52
27,2,313.5,317.0,9.84,160.35,-11.77,43.73,316.11,0.156,0.9542,56.87,136.58,136.11,AAN,0.765,0.235,AAN,0.63,,
27,1,309.0,311.0,9.7,199.6,28.99,56.28,309.99,0.5835,0.9746,104.18,260.36,309.99,,0.0,1.0,,,FCV,1.21
27,1,165.0,167.0,9.17,239.7,54.79,18.89,165.67,0.9919,0.6549,28.27,163.72,165.68,AUD,0.222,0.778,AUD,5.77,IOD,4.59
18,1,343.5,345.5,9.09,126.63,-16.0,14.33,344.65,0.9096,0.6699,12.65,37.07,164.64,,0.0,1.0,,,,
18,1,0.0,2.0,9.09,279.85,-71.05,55.3,1.31,0.992,0.957,99.83,352.32,181.31,,0.0,1.0,,,ZPA,0.12
16,1,105.0,107.0,9.09,239.91,23.81,11.57,106.13,0.994,0.6145,11.98,199.64,106.15,ECB,0.375,0.625,,,ECB,2.45
28,2,99.0,102.5,9.09,207.3,56.07,13.76,101.54,1.0106,0.6292,18.69,169.94,101.55,,0.0,1.0,,,,
18,1,66.0,68.0,9.09,221.45,21.01,13.65,67.08,0.9443,0.6529,12.54,213.84,67.1,,0.0,1.0,,,,
17,1,70.5,72.5,9.09,271.21,-16.35,35.7,71.6,0.1915,0.9275,13.86,313.0,71.61,,0.0,1.0,,,SGI,7.26
58,3,10.5,15.5,9.09,211.35,-20.62,30.44,14.24,0.221,0.8364,12.1,135.54,194.22,,0.0,1.0,,,,
11,1,238.5,240.5,9.0,117.32,0.72,62.33,239.72,0.4824,0.9846,133.84,91.76,59.72,AMO,1.0,0.0,AMO,0.08,,
11,1,318.0,320.0,9.0,344.6,69.16,12.85,318.88,0.9857,0.5878,17.53,176.72,318.88,,0.0,1.0,,,,
11,1,237.0,239.0,9.0,155.45,20.57,68.04,237.94,0.986,0.6704,162.66,174.03,237.94,LEO,1.0,0.0,LEO,0.62,,
10,1,319.5,321.5,9.0,217.62,17.31,62.28,320.97,0.7645,0.9664,121.89,237.02,320.97,ZBO,0.6,0.4,,,ZBO,1.75
11,1,19.5,21.5,9.0,200.99,-14.45,25.56,20.77,0.4943,0.7947,4.85,98.34,200.74,OAV,0.455,0.545,,,OAV,0.73
11,1,351.0,353.0,9.0,217.14,63.62,21.66,351.3,0.9446,0.678,32.26,208.7,351.3,,0.0,1.0,,,,
12,1,256.5,258.5,9.0,72.11,14.27,19.24,257.26,0.6586,0.6963,4.94,79.14,77.28,DSA,0.583,0.417,ORS,6.52,RTU,3.33
12,1,255.0,257.0,9.0,150.29,35.65,63.45,256.23,0.5945,0.9766,133.1,258.59,256.23,COM,1.0,0.0,,,DLM,5.64
19,2,22.5,26.0,9.0,213.52,-38.12,40.6,24.58,0.3112,0.9954,43.67,112.88,204.58,ACU,0.636,0.364,,,ACU,2.49
10,1,22.5,24.5,9.0,207.29,-16.24,27.3,24.09,0.4367,0.821,4.89,104.83,204.05,OAV,1.0,0.0,,,OAV,4.1
11,1,340.5,342.5,9.0,179.49,-1.96,34.37,341.41,0.2162,0.9075,3.7,129.86,161.38,,0.0,1.0,,,,
11,1,328.5,330.5,9.0,89.77,-63.89,27.51,330.06,0.9878,0.9219,41.77,2.94,150.06,,0.0,1.0,,,DDO,1.06
11,1,339.0,341.0,9.0,246.01,-45.93,67.26,339.97,0.9862,0.9525,138.99,351.87,159.97,,0.0,1.0,,,DNO,0.39
11,1,337.5,339.5,9.0,169.04,-3.58,36.6,339.17,0.2914,0.9875,12.77,114.77,159.17,,0.0,1.0,,,ESL,4.88
11,1,33.0,35.0,9.0,225.89,-11.83,30.54,33.79,0.3287,0.861,7.03,297.47,33.82,DLI,1.0,0.0,,,DLI,0.89
12,1,255.0,257.0,9.0,68.97,12.85,18.19,256.15,0.6927,0.6807,5.09,75.09,76.17,,0.0,1.0,,,RTU,1.25
12,1,333.0,335.0,9.0,88.47,-64.27,27.99,333.8,0.9892,0.9615,41.97,358.84,153.8,,0.0,1.0,,,DDO,0.49
44,1,264.0,266.0,9.0,88.75,26.61,23.81,265.03,0.5121,0.7677,2.59,276.36,264.98,DEG,0.545,0.455,NTA,1.23,ORN,4.5
11,1,337.5,339.5,9.0,276.11,71.51,21.32,338.56,0.9899,0.6477,33.38,178.75,338.56,,0.0,1.0,,,,
10,1,264.0,266.0,9.0,75.94,12.21,17.9,264.96,0.7144,0.681,5.62,71.08,84.98,DSA,0.2,0.8,,,RTU,7.31
11,1,139.5,141.5,9.0,48.54,57.86,56.65,140.18,0.9366,0.7546,111.63,145.51,140.18,PER,1.0,0.0,PER,0.3,,
11,1,168.0,170.0,9.0,262.99,-30.91,7.18,169.32,1.0053,0.5126,2.12,7.06,348.06,,0.0,1.0,,,GSA,6.71
11,1,178.5,180.5,9.0,305.07,15.09,11.62,179.0,0.9583,0.6489,10.08,207.22,179.01,,0.0,1.0,,,,
12,1,163.5,165.5,9.0,108.4,61.63,56.47,164.94,0.7895,0.9601,105.4,124.23,164.94,,0.0,1.0,,,XAU,1.54
11,1,169.5,171.5,9.0,338.69,54.31,35.18,171.04,0.7955,0.9384,52.77,235.46,171.04,,0.0,1.0,,,,
11,1,168.0,170.0,9.0,49.14,-24.39,50.33,169.03,0.6212,0.9768,88.4,76.93,349.03,TER,1.0,0.0,,,TER,0.18
11,1,163.5,165.5,9.0,149.49,48.94,45.32,164.46,0.4274,0.9947,68.55,80.91,164.46,ALN,0.182,0.818,,,ALN,4.32
11,1,186.0,188.0,9.0,156.44,-2.27,32.76,186.93,0.1513,0.8722,24.18,214.44,6.92,DSX,1.0,0.0,DSX,0.2,,
11,1,168.0,170.0,9.0,45.75,-9.12,56.59,169.26,0.398,0.9861,113.06,101.95,349.26,SZE,1.0,0.0,,,SZE,2.43
68,2,160.5,164.0,8.87,95.39,39.49,65.78,161.89,0.6763,0.9729,147.71,109.62,161.89,AUR,0.923,0.077,AUR,2.82,TAG,5.6
39,1,289.5,291.5,8.87,224.33,1.14,66.47,290.45,0.6831,0.9565,145.51,111.9,290.45,DSV,0.974,0.026,,,JPV,1.23
24,1,289.5,291.5,8.64,182.07,-16.56,67.11,290.49,0.855,0.7854,153.57,44.51,110.49,ECV,0.625,0.375,ECV,6.87,DEC,4.17
69,2,25.5,29.0,8.56,220.09,-10.58,31.55,26.29,0.2942,0.8753,7.4,300.63,26.33,DLI,0.96,0.04,,,DLI,3.26
18,1,76.5,78.5,8.43,275.75,-26.74,33.94,77.39,0.2189,0.9086,6.28,129.92,257.32,LSA,0.944,0.056,,,LSA,0.88
17,1,258.0,260.0,8.35,153.01,34.64,63.79,258.88,0.5873,1.0027,133.64,258.88,258.88,COM,1.0,0.0,COM,6.37,DLM,3.22
15,1,142.5,144.5,8.35,54.87,58.24,58.52,143.09,0.9306,0.8778,113.51,145.76,143.09,PER,1.0,0.0,PER,3.52,,
16,1,178.5,180.5,8.35,61.7,40.3,64.84,179.27,0.6804,0.9741,142.29,249.66,179.27,SPE,0.438,0.562,SPE,7.71,PXS,2.61
11,1,66.0,68.0,8.35,270.02,-25.79,37.35,67.19,0.1371,0.945,5.84,141.87,247.16,LSA,0.182,0.818,,,LSA,4.35
16,1,309.0,311.0,8.35,184.06,-18.26,63.88,309.72,0.4677,0.9457,145.15,93.98,129.71,,0.0,1.0,ECV,4.97,,
16,1,70.5,72.5,8.35,355.05,8.96,66.32,71.51,0.7438,0.8932,160.86,115.74,71.5,ETA,0.5,0.5,,,JTP,1.29
16,1,183.0,185.0,8.35,322.86,5.68,12.11,184.38,0.9217,0.6621,6.37,216.88,184.39,,0.0,1.0,,,,
17,1,37.5,39.5,8.35,225.87,-10.9,27.25,38.64,0.4282,0.8185,6.45,286.27,38.67,DLI,0.235,0.765,,,DLI,1.28
32,2,1.5,5.0,8.35,197.23,-45.67,45.02,3.93,0.4441,0.9854,67.39,96.37,183.93,,0.0,1.0,,,,
20,1,165.0,167.0,8.12,10.26,-4.55,35.7,166.41,0.1837,0.9303,16.45,134.29,346.4,AIC,0.2,0.8,,,PCE,2.18
37,1,336.0,338.0,8.12,288.35,47.54,31.25,336.92,0.913,0.7518,50.08,144.71,336.92,MOC,0.108,0.892,,,FDC,0.8
24,1,66.0,68.0,8.12,237.23,-34.81,21.69,67.07,0.649,0.7615,9.84,80.07,247.04,,0.0,1.0,,,SLL,4.26
22,1,286.5,288.5,8.12,99.44,14.09,18.16,287.88,0.7028,0.6822,4.97,72.36,107.9,DSA,0.545,0.455,,,,
35,2,85.5,89.0,8.12,235.18,6.19,12.96,86.15,0.9365,0.6399,8.56,216.55,86.18,JES,0.208,0.792,,,JES,4.25
23,2,289.5,293.0,8.0,109.37,1.01,23.71,292.03,0.6171,0.7861,15.5,81.24,112.03,DCN,0.6,0.4,,,DCN,0.54
10,1,289.5,291.5,8.0,194.99,-24.35,70.06,290.11,0.9753,0.9493,151.61,349.49,110.11,,0.0,1.0,ECV,6.8,PIH,7.66
10,1,54.0,56.0,8.0,300.16,17.7,59.5,54.38,0.9002,0.9836,113.55,218.85,54.37,M23K1,0.9,0.1,GAQ,4.21,,
38,2,10.5,14.0,8.0,309.56,71.99,20.54,11.31,0.9772,0.6615,31.94,160.82,11.31,,0.0,1.0,,,,
233,4,160.5,167.0,8.0,65.34,-0.54,65.55,164.52,0.9064,0.8933,141.14,38.52,344.52,NUE,0.959,0.041,NUE,2.15,OOE,6.58
10,1,163.5,165.5,8.0,4.09,-11.35,31.44,164.79,0.3163,0.8804,16.62,117.13,344.78,,0.0,1.0,,,,
10,1,315.0,317.0,8.0,246.17,21.17,56.62,316.1,0.9225,0.8681,105.53,149.29,316.1,FBH,0.1,0.9,,,FBH,1.35
10,1,300.0,302.0,8.0,219.39,76.42,29.91,301.03,0.9367,0.9611,43.87,205.51,301.03,,0.0,1.0,GUM,7.67,,
10,1,78.0,80.0,8.0,35.94,-41.79,50.63,79.57,0.9206,0.9829,89.41,324.3,259.57,,0.0,1.0,,,CPH,0.71
10,1,58.5,60.5,8.0,307.07,-31.97,64.63,59.12,0.5234,0.9844,152.17,88.6,239.13,OMC,1.0,0.0,,,OMC,0.85
10,1,288.0,290.0,8.0,152.97,-72.45,41.16,288.81,0.9621,0.9607,66.73,342.75,108.81,,0.0,1.0,,,OCR,1.04
10,1,336.0,338.0,8.0,247.82,28.13,54.94,336.66,0.9791,0.9728,97.43,192.1,336.66,,0.0,1.0,,,,
17,2,333.0,336.5,8.0,87.67,-28.49,11.54,334.23,0.9846,0.6135,13.83,9.19,154.23,,0.0,1.0,,,,
10,1,6.0,8.0,8.0,200.15,-45.42,45.14,6.75,0.4217,0.9895,67.09,98.96,186.75,,0.0,1.0,,,,
10,1,103.5,105.5,8.0,18.19,26.72,63.91,104.28,0.8643,0.7242,147.25,130.09,104.27,PPS,1.0,0.0,PPS,2.03,UPI,2.18
10,1,97.5,99.5,8.0,205.84,67.59,16.52,98.06,0.9983,0.6424,23.69,162.52,98.07,,0.0,1.0,,,,
10,1,1.5,3.5,8.0,181.99,45.97,14.92,2.35,0.9055,0.5823,16.49,221.41,2.36,,0.0,1.0,,,,
10,1,253.5,255.5,8.0,78.81,25.96,24.9,254.33,0.4736,0.7828,2.6,280.41,254.29,PTS,1.0,0.0,NTA,7.72,ORN,3.96
10,1,349.5,351.5,8.0,255.23,-16.47,71.51,350.67,0.9741,0.9754,169.37,196.18,350.66,EOP,0.9,0.1,,,EOP,4.86
10,1,343.5,345.5,8.0,212.01,25.05,46.11,344.27,0.4432,0.9543,72.73,277.72,344.27,MTB,1.0,0.0,,,MTB,1.64
10,1,342.0,344.0,8.0,211.93,27.63,45.76,343.16,0.4938,0.9678,71.73,271.61,343.17,MTB,1.0,0.0,,,MTB,1.19
10,1,135.0,137.0,8.0,42.56,56.03,57.22,135.88,0.9403,0.7774,112.89,146.53,135.88,PER,1.0,0.0,PER,2.18,,
10,1,36.0,38.0,8.0,260.93,47.49,35.6,37.79,0.9538,0.9753,55.58,206.65,37.79,M24H1,1.0,0.0,,,NHE,7.58
10,1,139.5,141.5,8.0,47.12,57.58,57.37,140.48,0.9535,0.7881,112.57,150.07,140.48,PER,1.0,0.0,PER,0.13,,
10,1,33.0,35.0,8.0,329.85,-4.8,65.3,34.2,0.5107,0.9715,164.46,90.0,34.19,ETA,1.0,0.0,,,NPE,7.22
10,1,337.5,339.5,8.0,273.19,51.89,31.29,338.82,0.9756,0.643,52.72,164.18,338.82,,0.0,1.0,,,MXD,5.82
10,1,28.5,30.5,8.0,329.81,2.71,61.63,29.32,0.3625,0.9933,143.58,73.55,29.32,NPE,1.0,0.0,,,NPE,0.64
10,1,142.5,144.5,8.0,274.62,56.56,20.84,143.48,1.0034,0.6523,32.78,192.39,143.48,AUD,1.0,0.0,AUD,2.81,,
10,1,6.0,8.0,8.0,184.55,47.32,16.07,7.13,0.9167,0.6478,17.3,217.63,7.14,,0.0,1.0,,,,
10,1,306.0,308.0,8.0,78.38,-38.5,13.64,306.69,0.9728,0.6181,17.88,14.18,126.69,,0.0,1.0,,,,
10,1,13.5,15.5,8.0,243.11,0.85,55.77,14.57,0.274,0.9845,110.38,297.85,14.57,ALO,1.0,0.0,,,ALO,1.51
14,1,142.5,144.5,7.6,50.45,57.69,59.21,143.24,0.9618,0.9063,114.62,153.53,143.24,PER,1.0,0.0,PER,1.26,,
12,1,3.0,5.0,7.6,84.06,21.09,7.13,4.06,0.9943,0.5311,1.54,349.28,183.08,,0.0,1.0,,,,
14,1,208.5,210.5,7.6,43.33,19.1,30.77,209.02,0.2602,0.8663,3.64,306.36,209.02,,0.0,1.0,NTA,1.31,NOA,4.34
25,2,178.5,182.0,7.6,348.6,5.07,18.6,180.9,0.7103,0.7205,5.3,252.22,180.92,,0.0,1.0,,,,
21,1,313.5,315.5,7.59,208.46,-21.52,70.05,314.53,0.8992,0.9043,163.28,35.78,134.53,PIH,0.762,0.238,,,PIH,2.26
28,1,24.0,26.0,7.57,259.85,42.58,39.63,24.99,0.9362,0.9434,64.06,210.3,24.99,NHE,0.964,0.036,,,NHE,3.25
172,1,166.5,168.5,7.23,3.05,4.86,28.92,167.56,0.2834,0.8374,4.89,304.52,167.66,NIA,0.523,0.471,NIA,0.75,,
72,1,172.5,174.5,7.15,71.88,1.99,65.85,173.41,0.8778,0.8887,143.28,43.52,353.41,NUE,0.736,0.264,NUE,0.94,ROR,7.13
14,1,159.0,161.0,7.14,1.31,9.03,36.17,160.13,0.1421,0.9298,18.4,321.36,160.14,NDA,1.0,0.0,,,NCQ,7.78
22,1,358.5,360.5,7.06,121.81,-36.83,15.11,359.48,0.9649,0.6493,19.28,22.76,179.68,M25F1,0.636,0.364,,,,
21,1,9.0,11.0,7.06,154.25,-4.8,12.97,10.28,0.9078,0.6484,5.03,40.19,190.24,,0.0,1.0,,,,
27,2,325.5,329.0,7.06,343.92,60.02,13.62,328.26,0.9746,0.6445,17.58,164.87,328.26,,0.0,1.0,,,,
42,1,85.5,87.5,7.06,230.58,52.55,14.98,86.67,1.0136,0.6129,21.16,186.48,86.69,EUM,0.333,0.667,AVB,5.51,EUM,2.11
13,1,313.5,315.5,7.06,160.45,-9.93,43.94,314.21,0.1317,0.9588,57.32,141.12,134.21,AAN,1.0,0.0,AAN,1.74,,
37,1,82.5,84.5,7.0,228.86,43.39,13.68,83.55,1.0008,0.6249,18.06,195.74,83.56,EUM,0.216,0.784,TAH,1.79,,
36,1,90.0,92.0,7.0,237.84,6.41,12.16,90.8,0.9448,0.6201,8.59,216.03,90.83,JES,0.361,0.639,,,JES,2.28
150,2,168.0,171.5,6.93,70.21,0.98,65.77,170.52,0.8997,0.8895,142.14,39.31,350.52,NUE,0.778,0.222,NUE,1.22,,
14,1,315.0,317.0,6.86,104.14,-43.76,19.52,316.54,0.9424,0.6389,28.43,27.7,136.54,,0.0,1.0,,,,
14,1,327.0,329.0,6.86,211.31,-20.43,66.58,327.96,0.6248,0.8858,164.21,78.27,147.96,ECV,0.357,0.643,,,PIH,2.74
14,1,336.0,338.0,6.86,268.37,51.85,31.86,336.7,0.9834,0.657,53.98,169.27,336.7,,0.0,1.0,,,MXD,6.61
10,1,28.5,30.5,6.86,223.17,-11.46,32.36,29.41,0.2814,0.8868,7.39,302.14,29.44,DLI,1.0,0.0,,,DLI,0.7
14,1,24.0,26.0,6.86,165.42,6.9,9.12,25.12,0.9642,0.5287,1.62,120.36,113.8,,0.0,1.0,,,,
22,2,309.0,312.5,6.86,209.27,-23.17,70.49,311.76,0.9538,0.9368,161.05,21.08,131.76,PIH,1.0,0.0,,,PIH,0.96
14,1,313.5,315.5,6.86,186.47,-39.24,61.07,314.27,0.7915,0.9795,118.03,53.47,134.27,,0.0,1.0,OHY,7.24,,
14,1,21.0,23.0,6.86,201.29,-14.93,24.76,22.19,0.5188,0.7812,4.9,95.73,202.16,,0.0,1.0,,,OAV,0.83
14,1,304.5,306.5,6.86,234.78,64.99,29.36,305.6,0.9633,0.6203,48.4,199.39,305.6,GUM,0.643,0.357,GUM,2.19,,
22,1,340.5,342.5,6.71,340.0,64.23,13.21,341.62,0.9726,0.6237,17.5,162.38,341.62,,0.0,1.0,,,,
32,1,331.5,333.5,6.63,70.57,-53.14,16.47,332.42,0.9871,0.6264,24.33,350.91,152.42,M26E1,0.312,0.688,,,,
31,1,79.5,81.5,6.63,236.82,64.11,17.33,80.67,1.0147,0.6168,26.34,179.0,80.68,,0.0,1.0,,,,
20,1,318.0,320.0,6.54,217.12,17.75,62.36,319.12,0.7768,0.963,122.37,235.97,319.12,,0.0,1.0,,,ZBO,1.17
20,1,102.0,104.0,6.54,265.92,2.65,17.23,102.99,0.8298,0.7172,12.49,236.15,103.01,,0.0,1.0,,,FOP,5.87
20,1,351.0,353.0,6.54,217.15,22.91,45.99,351.43,0.4507,0.969,71.25,276.31,351.43,,0.0,1.0,,,TSB,1.16
33,1,187.5,189.5,6.33,17.19,12.14,26.4,188.26,0.3745,0.7895,4.43,294.58,188.27,NPI,1.0,0.0,,,SPI,7.27
25,1,256.5,258.5,6.28,151.5,35.19,62.59,257.34,0.5699,0.9375,132.71,262.49,257.35,COM,1.0,0.0,COM,7.73,DLM,4.56
65,2,94.5,98.0,6.16,238.3,12.82,11.98,97.02,0.9664,0.626,10.31,209.3,97.04,,0.0,1.0,,,,
10,1,354.0,356.0,6.11,137.03,-18.37,14.23,354.93,0.9059,0.6366,12.05,39.39,174.92,,0.0,1.0,,,,
13,1,46.5,48.5,6.11,211.56,7.9,15.87,47.11,0.8463,0.6817,8.85,233.01,47.14,AVB,0.769,0.231,,,,
13,1,337.5,339.5,6.11,209.04,28.2,46.48,338.44,0.4779,0.967,73.66,273.01,338.44,MTB,0.538,0.462,,,MTB,3.55
149,2,181.5,185.0,6.11,14.54,10.42,26.83,184.1,0.347,0.798,4.4,297.22,184.11,NPI,0.763,0.237,NPI,4.65,SPI,6.81
12,1,343.5,345.5,6.11,187.6,1.74,36.07,344.33,0.168,0.9221,10.03,317.0,344.33,,0.0,1.0,,,NMV,3.7
13,1,102.0,104.0,6.11,11.56,41.23,60.56,102.95,0.8999,0.9154,120.72,139.42,102.94,UAN,1.0,0.0,FAN,5.91,UAN,3.5
13,1,169.5,171.5,6.11,157.82,48.66,45.04,170.8,0.4712,0.9887,67.69,86.0,170.8,,0.0,1.0,,,,
13,1,300.0,302.0,6.11,123.75,23.7,22.29,300.97,0.5766,0.7427,2.7,267.96,300.95,,0.0,1.0,,,,
13,1,24.0,26.0,6.11,270.15,30.71,48.69,25.02,0.9222,0.9307,84.47,213.41,25.02,,0.0,1.0,LYR,2.57,,
13,1,165.0,167.0,6.11,56.17,-3.26,62.48,165.63,0.68,0.9161,134.77,70.82,345.63,,0.0,1.0,,,OOE,2.98
24,2,322.5,326.0,6.11,87.83,-43.65,16.47,324.69,0.9813,0.6316,23.4,10.36,144.69,,0.0,1.0,,,,
12,1,301.5,303.5,6.11,246.26,50.66,36.28,302.17,0.9816,0.6641,62.05,173.31,302.17,,0.0,1.0,,,,
36,1,264.0,266.0,6.03,132.05,0.92,57.43,265.25,0.2153,0.9763,125.09,125.61,85.25,HYD,0.778,0.222,HYD,0.74,DOH,3.5
32,1,87.0,89.0,6.0,233.48,55.8,15.49,88.21,1.0135,0.6245,22.85,186.53,88.23,EUM,0.188,0.75,,,EUM,1.9
58,1,255.0,257.0,5.89,80.38,26.26,24.71,255.84,0.4796,0.7793,2.76,280.11,255.77,PTS,0.655,0.328,NTA,6.3,ORN,2.6
27,1,97.5,99.5,5.89,256.52,8.13,15.76,98.34,0.8861,0.6888,12.68,226.3,98.37,KCG,0.222,0.778,,,,
31,1,349.5,351.5,5.75,189.88,-7.57,35.9,350.73,0.1633,0.921,6.47,137.33,170.74,,0.0,1.0,,,SMV,2.15
34,1,165.0,167.0,5.54,5.8,9.46,35.63,165.83,0.1557,0.9269,13.73,319.04,165.84,NDA,0.647,0.353,NPI,2.94,,
25,1,159.0,161.0,5.52,356.11,2.83,29.17,160.29,0.2735,0.8378,5.75,306.67,160.32,NIA,1.0,0.0,NIA,0.21,SGP,4.59
39,2,304.5,308.0,5.52,202.31,-19.79,70.72,307.04,0.9196,0.9404,163.51,30.19,127.03,PIH,0.643,0.357,,,SOV,2.68
72,1,177.0,179.0,5.5,332.28,0.96,13.53,178.4,0.8595,0.6502,4.29,229.44,178.51,,0.0,1.0,,,,
29,2,4.5,8.0,5.48,267.82,67.17,23.18,6.69,0.9976,0.6356,37.36,179.09,6.69,,0.0,1.0,,,PDF,1.44
15,1,69.0,71.0,5.48,272.15,-26.99,36.94,70.42,0.1501,0.9398,8.38,139.44,250.4,LSA,0.6,0.4,,,LSA,2.41
18,1,66.0,68.0,5.48,351.98,7.07,66.31,66.81,0.7136,0.9011,161.27,112.21,66.8,ETA,1.0,0.0,ETA,6.88,JTP,3.88
16,1,303.0,305.0,5.48,184.17,-30.05,64.65,303.68,0.8087,0.9144,131.87,51.75,123.68,JBC,0.75,0.25,OHY,6.41,SCV,1.71
15,1,306.0,308.0,5.48,228.12,48.55,45.04,307.1,0.9622,0.9133,75.62,197.8,307.1,FPB,0.333,0.667,LBO,7.7,,
18,1,280.5,282.5,5.48,77.59,3.37,13.67,281.5,0.8654,0.6375,7.28,46.2,101.52,,0.0,1.0,,,,
14,1,168.0,170.0,5.48,7.84,8.28,35.39,168.62,0.168,0.9296,9.99,316.64,168.64,NDA,0.357,0.643,NPI,1.16,,
12,1,292.5,294.5,5.37,183.26,19.6,62.6,293.69,0.4996,0.9347,136.53,271.3,293.69,FEV,1.0,0.0,,,,
12,1,166.5,168.5,5.37,61.48,-41.06,42.89,167.83,0.9119,0.9188,72.53,36.56,347.83,,0.0,1.0,,,DHO,0.47
12,1,327.0,329.0,5.37,218.88,44.94,44.14,327.86,0.8312,0.9705,71.28,227.25,327.86,,0.0,1.0,,,,
11,1,67.5,69.5,5.37,221.72,0.61,13.49,68.59,0.9073,0.6615,5.82,222.89,68.63,,0.0,1.0,,,,
11,1,24.0,26.0,5.37,267.58,-16.58,65.25,24.65,0.4895,0.9462,164.49,272.39,24.63,OSP,1.0,0.0,,,OSP,7.62
11,1,334.5,336.5,5.37,240.25,59.52,29.2,335.29,0.9649,0.677,47.99,200.8,335.29,ETD,0.727,0.273,,,ETD,2.71
11,1,96.0,98.0,5.37,237.2,-21.13,11.29,96.78,0.941,0.6263,0.59,38.51,275.68,,0.0,1.0,,,,
11,1,280.5,282.5,5.37,95.2,-29.22,24.94,281.41,0.8262,0.8049,32.15,50.07,101.41,PIP,1.0,0.0,,,LCM,3.58
11,1,256.5,258.5,5.37,151.95,35.18,63.7,257.73,0.5936,0.9935,133.51,258.3,257.73,COM,1.0,0.0,COM,7.39,DLM,4.24
11,1,72.0,74.0,5.37,233.36,-15.84,15.09,73.15,0.8277,0.6379,1.19,237.38,73.63,,0.0,1.0,,,,
10,1,6.0,8.0,5.37,139.48,13.29,10.01,6.94,0.9638,0.6368,0.97,27.19,186.08,,0.0,1.0,,,,
12,1,295.5,297.5,5.37,112.93,-1.05,23.57,295.95,0.6297,0.7872,16.27,79.7,115.95,DCN,0.417,0.583,,,DCN,2.52
12,1,265.5,267.5,5.37,96.02,25.64,27.34,266.3,0.4043,0.8207,2.43,287.59,266.27,ORN,1.0,0.0,NTA,7.78,DEG,0.61
10,1,316.5,318.5,5.37,125.25,58.61,16.14,317.52,0.8882,0.7022,15.58,221.15,317.51,,0.0,1.0,,,,
10,1,162.0,164.0,5.37,76.26,-3.65,65.62,163.16,1.0068,0.9234,135.17,355.86,343.17,PSO,0.3,0.7,PSO,2.35,,
11,1,132.0,134.0,5.37,39.25,56.33,56.66,133.2,0.9365,0.767,111.06,145.45,133.2,PER,1.0,0.0,PER,3.6,,
17,1,283.5,285.5,5.23,69.35,21.15,11.57,284.09,0.9028,0.6316,1.53,41.79,105.51,,0.0,1.0,,,,
24,1,12.0,14.0,5.14,119.52,21.82,7.94,13.0,0.9978,0.5788,1.78,93.94,103.0,,0.0,1.0,,,,
76,1,162.0,164.0,5.02,357.61,3.61,29.01,162.98,0.2725,0.8361,4.69,306.7,163.13,NIA,0.789,0.171,NIA,1.72,SGP,6.0
48,1,76.5,78.5,5.01,277.73,-23.46,35.38,77.7,0.1938,0.9297,4.48,136.28,256.42,LSA,0.604,0.396,,,LSA,1.52
