n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg,iau_recheck_established,iau_recheck_working
11,1,321.0,323.0,9.0,139.42,-28.74,33.94,322.07,0.6836,0.9552,41.81,68.0,142.07,,0.0,1.0,,,,,16,3,3,"2024,2025,2026",0.5,0.375,1.0,189.51,-45.4,antihelion,46.4,,
15,1,72.0,74.0,16.0,344.94,-31.64,64.8,73.21,0.9408,0.8501,138.47,31.96,253.21,,0.0,1.0,,,,,18,3,3,"2024,2025,2026",0.5,0.444,1.0,259.57,-22.7,south_apex,12.5,,
10,1,285.0,287.0,9.0,205.89,-15.85,69.59,285.71,0.7992,0.876,172.68,307.83,105.61,,0.0,1.0,,,,,10,3,3,"2022,2025,2026",0.0,0.5,1.0,284.2,-4.1,south_apex,17.7,,
17,1,109.5,111.5,8.35,41.39,-18.32,60.42,110.37,0.938,0.8575,122.66,325.8,290.37,,0.0,1.0,,,,,15,3,3,"2023,2024,2025",0.0,0.533,1.0,282.16,-32.91,south_apex,21.1,,
11,1,265.5,267.5,9.0,185.25,-40.19,58.41,265.93,0.7043,0.9332,110.97,293.53,85.93,,0.0,1.0,,,,,46,3,3,"2023,2024,2025",1.0,0.391,1.0,297.18,-33.66,south_apex,31.0,,
13,1,354.0,356.0,6.11,179.07,-68.81,42.36,354.96,0.8801,0.8912,70.33,40.79,174.96,,0.0,1.0,,,,,23,3,3,"2024,2025,2026",0.5,0.565,1.0,230.56,-58.55,south_apex,53.8,,
16,1,4.5,6.5,8.35,153.88,-65.93,34.23,5.76,0.9107,0.8858,51.71,34.96,185.75,,0.0,1.0,,,,,17,3,3,"2024,2025,2026",0.0,0.588,1.0,206.38,-65.67,antihelion,65.9,,
26,2,9.0,12.5,11.0,296.83,-31.37,67.72,11.43,0.8559,0.8533,161.56,313.22,191.43,,0.0,1.0,,,,,28,3,3,"2024,2025,2026",1.0,0.429,1.0,282.14,-9.59,south_apex,13.0,,
23,1,102.0,104.0,8.64,355.04,-12.32,65.17,102.93,0.7089,0.8816,159.41,69.21,282.95,,0.0,1.0,,,,,23,3,3,"2023,2024,2025",0.5,0.609,1.0,250.46,-10.82,south_apex,19.5,,
10,1,358.5,360.5,9.0,133.86,-66.81,28.77,359.4,0.9555,0.6772,45.46,25.27,179.68,,0.0,1.0,,,,,24,3,3,"2024,2025,2026",0.5,0.458,1.0,200.51,-73.94,antihelion,73.9,,
84,3,76.5,81.5,21.0,348.85,-20.12,67.89,77.34,0.9897,0.8601,155.1,18.8,257.35,,0.0,1.0,,,,,26,3,3,"2024,2025,2026",1.0,0.385,1.0,264.76,-13.83,south_apex,5.2,,
26,1,166.5,168.5,22.0,81.99,-57.91,28.97,167.64,1.0043,0.6845,48.5,7.95,347.64,,0.0,1.0,,,,,53,3,3,"2023,2024,2025",0.0,0.547,1.0,248.23,-80.35,south_apex,67.0,,
83,4,22.5,29.0,23.0,347.95,-75.4,46.04,26.28,0.999,0.9206,79.71,346.75,206.28,,0.0,1.0,,,,,38,3,3,"2024,2025,2026",0.5,0.447,1.0,278.85,-60.99,south_apex,46.5,,
11,1,36.0,38.0,9.0,12.48,-62.83,46.53,36.98,0.9504,0.9187,79.36,331.82,216.97,,0.0,1.0,,,,,19,3,3,"2024,2025,2026",0.0,0.526,1.0,292.87,-58.87,south_apex,47.5,,
22,1,357.0,359.0,24.0,266.55,-47.51,66.52,358.24,0.9928,0.9114,138.93,11.04,178.24,,0.0,1.0,,,,,56,3,3,"2024,2025,2026",0.5,0.429,1.0,268.23,-24.76,south_apex,9.9,,
12,1,292.5,294.5,5.37,211.14,-42.87,62.26,293.53,0.7552,0.8987,125.32,300.45,113.53,,0.0,1.0,,,,,14,3,3,"2024,2025,2026",0.5,0.5,1.0,291.01,-27.88,south_apex,23.4,,
49,3,67.5,71.0,24.0,335.43,-30.85,65.33,68.52,0.8924,0.8751,144.62,42.58,248.53,,0.0,1.0,,,,,22,3,3,"2023,2024,2025",0.5,0.455,1.0,257.81,-19.52,south_apex,12.5,,
11,1,66.0,68.0,9.0,323.49,-55.69,54.79,67.06,0.7091,0.9496,101.95,69.01,247.06,,0.0,1.0,,,,,26,3,3,"2024,2025,2026",0.5,0.385,1.0,238.5,-37.4,south_apex,36.1,,
10,1,81.0,83.0,9.0,7.86,-43.45,58.25,82.06,1.0014,0.9437,110.15,13.92,262.06,,0.0,1.0,,,,,16,3,3,"2024,2025,2026",0.5,0.5,1.0,263.17,-40.29,south_apex,26.0,,
11,1,150.0,152.0,9.0,73.36,18.03,69.58,150.88,0.8635,0.9683,171.85,315.1,330.84,,0.0,1.0,,,,,13,3,3,"2022,2023,2025",1.0,0.615,1.0,282.58,-4.36,south_apex,16.3,,
240,9,343.5,357.5,32.0,177.11,-48.62,43.8,345.92,0.6296,0.9369,69.04,75.04,165.92,,0.0,1.0,,,,,19,3,3,"2024,2025,2026",0.0,0.474,1.0,217.28,-45.49,antihelion,48.2,,
12,1,171.0,173.0,9.0,154.46,-64.06,17.76,171.86,0.9724,0.6407,25.51,336.89,351.85,,0.0,1.0,,,,,74,3,3,"2023,2024,2025",0.0,0.527,1.0,37.5,-66.93,helion,82.3,,
12,1,354.0,356.0,9.0,171.64,-50.43,37.48,355.07,0.6909,0.9535,55.5,67.53,175.07,,0.0,1.0,,,,,20,3,3,"2024,2025,2026",0.0,0.4,1.0,204.29,-48.65,antihelion,48.8,,
13,1,19.5,21.5,10.0,343.95,-70.21,48.19,20.61,0.9566,0.9447,83.5,335.41,200.61,,0.0,1.0,,,,,15,3,3,"2024,2025,2026",0.5,0.4,1.0,287.86,-56.87,south_apex,44.3,,
15,1,112.5,114.5,9.09,8.82,-18.45,62.41,113.42,0.6701,0.9478,139.4,72.24,293.42,,0.0,1.0,,,,,28,3,3,"2023,2024,2025",1.0,0.393,1.0,248.71,-20.57,south_apex,21.0,,
16,1,234.0,236.0,14.0,58.72,-54.51,19.4,235.21,0.9649,0.6732,28.47,19.95,55.22,,0.0,1.0,,,,,46,3,3,"2023,2024,2025",0.0,0.435,1.0,145.37,-71.54,antihelion,84.2,,
10,1,111.0,113.0,8.0,340.83,-49.63,40.6,112.32,0.4941,0.8894,60.68,95.95,292.32,,0.0,1.0,,,,,15,3,3,"2023,2024,2025",0.0,0.533,1.0,208.25,-37.69,antihelion,38.5,,
14,1,175.5,177.5,11.0,175.13,-65.96,15.34,176.32,0.9809,0.6432,20.38,340.57,356.32,,0.0,1.0,,,,,45,3,3,"2023,2024,2025",1.0,0.6,1.0,43.62,-60.97,helion,82.0,,
10,1,87.0,89.0,8.0,356.41,-5.44,67.48,87.31,0.9996,0.7128,173.72,16.13,267.35,,0.0,1.0,,,,,8,3,3,"2024,2025,2026",0.0,0.5,1.0,265.97,-2.37,south_apex,13.2,,
14,1,70.5,72.5,11.0,341.12,-39.08,62.59,71.09,0.8903,0.8853,128.54,42.65,251.1,,0.0,1.0,,,,,26,3,3,"2024,2025,2026",0.5,0.346,1.0,254.91,-28.59,south_apex,19.5,,
10,1,112.5,114.5,8.0,23.76,11.15,69.94,113.79,1.0108,0.906,177.18,175.3,114.14,,0.0,1.0,,,,,18,3,3,"2023,2024,2025",1.0,0.333,1.0,271.68,1.53,north_apex,13.6,,
13,1,18.0,20.0,11.0,261.28,-57.83,59.04,18.91,0.7514,0.9167,113.31,61.15,198.91,,0.0,1.0,,,,,32,3,3,"2024,2025,2026",0.0,0.406,1.0,245.34,-34.24,south_apex,29.5,,
12,1,186.0,188.0,12.0,99.15,-45.75,37.81,186.83,0.9986,0.7034,65.23,350.68,6.83,,0.0,1.0,,,,,17,3,3,"2023,2024,2025",0.0,0.471,1.0,282.73,-68.45,south_apex,54.3,,
10,1,40.5,42.5,8.0,27.88,-68.2,41.61,41.62,0.9941,0.9104,69.89,346.37,221.62,,0.0,1.0,,,,,17,3,3,"2024,2025,2026",0.0,0.353,1.0,285.65,-67.4,south_apex,53.7,,
11,1,19.5,21.5,9.0,338.69,-77.42,46.31,20.4,0.9985,0.9142,80.53,351.72,200.4,,0.0,1.0,,,,,21,3,3,"2024,2025,2026",0.0,0.524,1.0,274.84,-60.96,south_apex,46.1,,
19,2,345.0,348.5,8.0,232.7,-79.27,49.68,347.82,0.9921,0.9232,85.66,353.04,167.82,,0.0,1.0,,,,,29,3,3,"2024,2025,2026",0.0,0.448,1.0,272.59,-56.41,south_apex,41.5,,
10,1,201.0,203.0,8.0,102.38,-27.2,53.07,202.26,0.9876,0.8839,95.47,11.51,22.26,,0.0,1.0,,,,,15,3,3,"2023,2024,2025",1.0,0.533,1.0,265.14,-50.06,south_apex,35.3,,
15,1,79.5,81.5,12.0,349.59,-69.64,43.5,80.26,0.8735,0.9254,72.79,45.3,260.26,,0.0,1.0,,,,,36,3,3,"2023,2024,2026",0.5,0.556,1.0,229.81,-57.57,south_apex,53.5,,
13,1,102.0,104.0,11.0,355.24,-24.57,61.32,103.26,0.5793,0.9564,135.45,86.47,283.26,,0.0,1.0,,,,,27,3,3,"2022,2024,2025",0.0,0.481,1.0,241.42,-20.27,south_apex,27.7,,
16,1,70.5,72.5,11.33,344.42,-11.39,69.12,71.39,1.0137,0.832,172.2,12.67,251.41,,0.0,1.0,,,,,16,3,3,"2024,2025,2026",1.0,0.438,1.0,265.94,-4.08,south_apex,11.6,,
22,1,358.5,360.5,11.33,210.4,-67.15,49.8,359.15,0.8572,0.9228,85.87,44.8,179.4,,0.0,1.0,,,,,18,3,3,"2024,2025,2026",0.0,0.444,1.0,241.58,-49.6,south_apex,42.1,,
10,1,355.5,357.5,8.0,234.16,-1.11,60.85,356.26,0.3806,0.9532,134.19,285.31,356.25,,0.0,1.0,,,,,58,6,3,"2023,2024,2026",1.73,0.448,1.0,236.1,17.72,north_apex,32.6,,
29,1,193.5,195.5,11.28,81.95,-61.21,26.68,194.48,0.9938,0.6728,44.13,12.29,14.48,,0.0,1.0,,,,,51,3,3,"2023,2024,2025",0.0,0.412,0.922,220.22,-83.16,south_apex,75.6,,
10,1,93.0,95.0,8.0,11.44,-12.18,67.17,93.99,1.0142,0.8137,152.78,352.57,274.0,,0.0,1.0,,,,,24,3,3,"2024,2025,2026",1.0,0.375,1.0,271.76,-15.21,south_apex,1.7,,
10,1,13.5,15.5,8.0,280.95,-57.69,60.24,13.82,0.9794,0.7706,119.98,17.73,193.82,,0.0,1.0,,,,,26,3,3,"2024,2025,2026",0.0,0.5,1.0,262.83,-34.6,south_apex,20.7,,
28,1,355.5,357.5,10.22,244.42,-32.03,67.27,356.22,0.7293,0.8766,158.98,65.11,176.23,,0.0,1.0,,,,,35,3,3,"2024,2025,2026",1.0,0.486,1.0,252.41,-10.58,south_apex,17.7,,
13,1,73.5,75.5,13.57,19.05,-53.06,50.27,75.01,1.0126,0.9405,88.74,349.73,255.0,,0.0,1.0,,,,,13,3,3,"2024,2025,2026",0.0,0.462,1.0,276.39,-55.47,south_apex,40.8,,
14,1,0.0,2.0,6.86,277.8,-13.95,69.55,1.08,0.9524,0.881,163.67,155.23,1.07,,0.0,1.0,,,,,10,3,3,"2021,2025,2026",0.5,0.4,1.0,96.34,9.03,antihelion,103.7,,
10,1,43.5,45.5,8.0,150.92,-49.42,15.4,44.84,0.9763,0.6354,19.77,23.44,224.83,,0.0,1.0,,,,,110,3,3,"2024,2025,2026",1.0,0.373,1.0,136.2,-55.96,antihelion,79.4,,
35,2,7.5,11.0,9.7,297.37,-43.1,66.16,8.09,0.8727,0.9123,141.26,318.32,188.09,,0.0,1.0,,,,,25,3,3,"2024,2025,2026",1.0,0.4,1.0,282.97,-21.5,south_apex,13.9,,
14,1,52.5,54.5,11.0,323.17,38.14,51.36,53.55,0.9194,0.9206,93.53,144.08,53.55,,0.0,1.0,,,,,24,3,3,"2023,2025,2026",1.0,0.417,1.0,290.06,49.36,north_toroidal,15.7,,
10,1,97.5,99.5,8.0,340.71,-30.32,55.58,98.73,0.2946,0.9257,121.52,116.47,278.73,,0.0,1.0,,,,,27,3,3,"2024,2025,2026",0.0,0.444,1.0,231.69,-20.12,south_apex,36.9,,
13,1,64.5,66.5,10.0,349.2,-12.19,68.67,65.67,0.9149,0.8917,168.02,322.45,245.68,,0.0,1.0,,,,,12,3,3,"2024,2025,2026",0.5,0.5,1.0,280.11,-5.14,south_apex,14.0,,
13,1,88.5,90.5,10.0,348.06,-18.61,67.08,89.74,0.7636,0.9858,156.9,60.62,269.76,,0.0,1.0,,,,,29,3,3,"2023,2025,2026",1.0,0.448,1.0,251.18,-12.08,south_apex,18.5,,
25,1,64.5,66.5,13.57,299.81,9.62,57.34,65.37,0.5649,0.9383,115.43,265.73,65.37,,0.0,1.0,,,,,33,7,3,"2020,2021,2026",0.28,0.394,1.0,236.43,28.45,north_apex,34.0,,
11,1,343.5,345.5,10.0,242.78,-65.62,57.46,344.15,0.9899,0.8472,105.27,350.43,164.15,,0.0,1.0,,,,,13,3,3,"2024,2025,2026",0.0,0.538,1.0,274.85,-43.45,south_apex,28.8,,
10,1,99.0,101.0,8.0,43.89,-43.06,48.66,99.93,1.0005,0.8997,86.61,345.25,279.93,,0.0,1.0,,,,,34,3,3,"2023,2024,2025",0.0,0.588,0.912,279.65,-54.42,south_apex,40.2,,
23,1,345.0,347.0,7.59,260.38,-58.66,60.02,345.94,0.9504,0.8748,117.93,335.04,165.94,,0.0,1.0,,,,,24,3,3,"2024,2025,2026",0.0,0.625,1.0,278.89,-35.6,south_apex,22.1,,
25,2,91.5,95.0,13.0,3.17,-15.13,67.39,92.98,0.9727,0.8574,154.63,25.42,272.98,,0.0,1.0,,,,,31,3,3,"2023,2025,2026",1.0,0.452,1.0,262.18,-14.22,south_apex,7.6,,
10,1,310.5,312.5,8.0,270.94,22.89,43.96,311.14,0.6417,0.9165,70.7,105.01,311.14,,0.0,1.0,,,,,11,3,3,"2023,2025,2026",1.0,0.273,1.0,320.41,46.2,north_toroidal,33.3,,
13,1,187.5,189.5,10.0,71.37,-50.3,35.42,188.29,0.9581,0.9218,56.48,24.59,8.29,,0.0,1.0,,,,,22,3,3,"2023,2024,2025",1.0,0.545,1.0,221.81,-71.11,south_apex,66.2,,
13,1,183.0,185.0,10.0,36.91,-21.78,38.0,184.07,0.453,0.9687,49.22,97.19,4.07,,0.0,1.0,,,,,24,3,3,"2022,2024,2025",1.0,0.5,1.0,202.94,-34.34,antihelion,34.5,,
17,1,319.5,321.5,13.0,152.66,-42.37,42.08,319.91,0.6848,0.9324,67.7,67.54,139.91,,0.0,1.0,,,,,25,3,3,"2024,2025,2026",1.0,0.32,1.0,217.06,-47.5,antihelion,50.0,,
15,1,108.0,110.0,12.0,57.72,-47.64,42.52,108.61,1.0078,0.9023,73.71,346.92,288.61,,0.0,1.0,,,,,45,3,3,"2023,2024,2025",1.0,0.667,0.733,283.97,-64.25,south_apex,50.4,,
