summary,summary+signature,summary+noise,signature
0.5786661861288886,0.5811295859249823,0.5333906825775965,0.5688994023861884
0.5565112079998116,0.616465913750263,0.5128713878649379,0.5701276052293365
0.5476084772429333,0.5659867841797808,0.5150416082392827,0.5148483652299477
0.5807213557703754,0.577524430171489,0.5254631145807617,0.5752048826558631
0.5385979139386601,0.5510770440218073,0.5225587360738007,0.5114872940088148
0.5668940518279819,0.5822690907324326,0.5167958763781442,0.5278884204811314
0.5618190410628847,0.5708491634174884,0.5485345452733179,0.5488500456791177
0.5683188742310634,0.5913410667179713,0.5056201852459538,0.5486741250901903
0.5332718529287156,0.5490225006891674,0.5169167007402301,0.5150759599779208
0.5694602358124596,0.6006762270966001,0.5434343918705468,0.5741850233492989
0.5544730513304682,0.5979786148040623,0.5332669222321822,0.5723598075910523
0.5793501790790588,0.5702757032411672,0.5447376884874661,0.5314927883501955
0.5718392437591849,0.5485110882471214,0.548023722759756,0.5256457856337567
0.5595437763575019,0.5669100178413904,0.526138676579853,0.5518483914562345
0.5435172563580024,0.5711842199934022,0.5356220307368084,0.5235980102873934
0.5618134810611366,0.5808535174743614,0.5210260869809037,0.5450096973114875
0.5595932468841796,0.5500836851725166,0.4914666446128849,0.5280170288888839
0.5444839168108349,0.5622567819928151,0.5189806674570107,0.5726310761428377
0.6220119742178566,0.5960057532116356,0.5629219375297807,0.5499803906176455
0.5627344230572351,0.5814596483140242,0.536224092784351,0.5571805884825971
0.5685229036124178,0.5693788245376055,0.5254107999120786,0.540613487376062
0.5676753679602777,0.5652231943329236,0.5401853761024697,0.5521149619793796
0.5432940048517434,0.5921115495888284,0.5211042016274574,0.5694448980716021
0.5567855702659624,0.5866920633097104,0.552377598995246,0.5377163667359746
0.5447247738460077,0.5834234252778012,0.5257202666743557,0.5362348818697457
0.5633413815106058,0.592214501372643,0.5173120698642864,0.5571010235055418
0.5592604430541692,0.5800844721870664,0.5374819581371395,0.5745427363330196
0.5457966456830396,0.5955245644867404,0.5232971103453594,0.5617584293058765
0.5585754495558417,0.5408366056895468,0.5223330821860234,0.5062320562810758
0.5914492267899729,0.5788420079704154,0.5190620292198485,0.5313925782720618
0.5659573919004866,0.618576569658198,0.5514145056333889,0.579870357356504
0.56041161283279,0.5675356291673327,0.5343172655323468,0.5218033911027488
0.5680247052052719,0.5319816018412651,0.52541986425841,0.5045980615180028
0.5979718619424502,0.5688650673454595,0.5156260789103926,0.5739082460651088
0.5653381954171051,0.5946917636731123,0.5290681397101771,0.5613742607286366
0.5907681480347721,0.598469040225221,0.5356577525034473,0.5664533447099517
0.5454270600617706,0.5811498651989204,0.513413717111984,0.5339061254707049
0.53566749820158,0.5547149514885414,0.5374047549388368,0.553486996144708
0.5683955627092881,0.605787256179413,0.5236292243154987,0.5522200939847999
0.5574014721360488,0.5825923546798726,0.504564866315225,0.5593495968101421
0.5676592859148273,0.5864956382518189,0.513443089905153,0.5794661105509358
0.5716718717452677,0.5762870750355626,0.537131726589842,0.556920545488568
0.5576429341826294,0.5979112156003361,0.5155045780567031,0.5475851395184461
0.5253173111016248,0.5610030684540488,0.5092879997781958,0.5138011298305416
0.5609486549551111,0.5942400346489299,0.5272642301121497,0.5689642143049604
0.5757463775430528,0.5305645570671146,0.5467620200580559,0.5184276600921954
0.5672489480111984,0.6077835276722772,0.5567679713537512,0.5366905979906851
0.5634632647242912,0.5582878885411631,0.5076816332002111,0.540974382120466
0.5546722086427969,0.5629039274137314,0.5313658942090315,0.5294257117786529
0.554010828114128,0.5709370303344479,0.5300478492192983,0.5871810142003829
